"Violation","Title","Descriptive Statute Code","Descriptive Statute Year","Penalty Statute Code","Penalty Statute Year","Offense Level","Minumum Sentence","Maximum Sentence","Minimum Fine","Maximum Fine","Restitution","Public Official","Unspecified Classification","Unspecified Fines"
"Forgery of Tickets or Checks Entitling One to Passage","Title 21","21-1587",1910,"21-1621",2017,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Forgery of Postage Stamps","Title 21","21-1588",1910,"21-1621",2017,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"False Entries in Book of Accounts Kept by Corporations","Title 21","21-1589",1910,"21-1621",2017,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Corporation Members, Officers or Employees Falsifying Book of Accounts or Records","Title 21","21-1590",1910,"21-1621",2017,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"POSS COUNTERFEIT COIN W/INTENT TO CIRCUL","Title 21","21-1591",1910,"21-1621",2017,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"UTTERING/PUBLISHING FORGED INSTRUMENTS (VALUE <$1000)","Title 21","21-1592",2018,"21-1592.A.1",2018,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"UTTERING/PUBLISHING FORGED INSTRUMENTS (VALUE >=$1000 UP TO $2499)","Title 21","21-1592",2018,"21-1592.A.2",2018,"Felony","0","2","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"UTTERING/PUBLISHING FORGED INSTRUMENTS (VALUE >=$2500 UP TO $14999)","Title 21","21-1592",2018,"21-1592.A.3",2018,"Felony","0","5","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"UTTERING/PUBLISHING FORGED INSTRUMENTS (VALUE >=$15000)","Title 21","21-1592",2018,"21-1592.A.4",2018,"Felony","0","8","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"SECOND OR SUBSEQUENT FELONY CONVICTION WHERE MOST RECENT OFFENSE IS Uttering a subscription on instrument as that of one with the same name","Title 21","21-1592",2018,"21-51.1.E.1",2018,"Felony","Unspecified","See Statute","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"FALSELY OBTAINING SIGNATURE","Title 21","21-1593",1910,"21-1621",2017,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Uttering Subscription on Instrument as that of One with Same Name","Title 21","21-1622",1910,"21-1621",2017,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Uttering One's Endorsement as that of Another with Same Name","Title 21","21-1623",1910,"21-1621",2017,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"ERASURE/ALTERATIONS W/INTENT TO DEFRAUD","Title 21","21-1624",1910,"21-1621",2017,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Pretended Signatures as Agent or Officer of a Corporation","Title 21","21-1626",1910,"21-1621",2017,"Felony","0","7","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Obtaining Labor by False or Bogus Order Directing Payment","Title 21","21-1627",1955,"21-1627",1955,"Misdemeanor","0","6 months","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Payment for Labor or Personal Services by False or Bogus Orders","Title 21","21-1627.1",1985,"21-1627.1",1985,"Misdemeanor","0","6 months","200","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"Fraudulently Altering, Forging, Reproducing Abstracter's Certificate or Signature","Title 21","21-1628",1971,"21-1628",1971,"Misdemeanor","Unspecified","Unspecified","25","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Fraudulent Subscription for Stock","Title 21","21-1631",1910,"21-1631",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Forged Instruments Regarding Organization of Corporation","Title 21","21-1632",1999,"21-1632",1999,"Felony","3","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Subscription of Another's Name without Authorization","Title 21","21-1633",1910,"21-1633",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Omitting Entries in Books","Title 21","21-1634",1910,"21-1634",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"DESTROYING OR FALSIFYING BOOKS","Title 21","21-1635",1999,"21-1635",1999,"Felony","3","10","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"False Material Statements by Corporations-Failure to Make Required Reports","Title 21","21-1636",1910,"21-1636",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Refusing to Allow Inspection of Corporate Book","Title 21","21-1637",1910,"21-1637",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Fraudulent Insolvency (Not Licensed)","Title 21","21-1638",1910,"21-1639.A",2012,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Fraudulent Insolvency (Licensed)","Title 21","21-1638",1910,"21-1639.B",2012,"Felony","0","5","0","50000","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawful Act or Failure to Perform Duty by Director","Title 21","21-1640",1910,"21-1640",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"FRAUD ON INSURANCE COMPANY","Title 21","21-1662",2012,"21-1662",2012,"Felony","0","3","0","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"WORK COMPENSATION FRAUD","Title 21","21-1663",2005,"21-1663.A",2005,"Felony","0","7","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Conveyance with Intent to Defraud","Title 21","21-1671",1910,"21-1671",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Removal of Property with Fraudulent Intent","Title 21","21-1672",1910,"21-1672",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Assignment of Property to Creditor for Priority","Title 21","21-1673",1910,"21-1673",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Fraudulent Acts by Insolvent Debtor","Title 21","21-1674",1910,"21-1674",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Unlawful Acts Upon Animal Facilities","Title 21","21-1680.2",2003,"21-1680.2.B",2003,"Misdemeanor","0","1","Restitution","5000","Yes","Nonspecific","Not Applicable","Not Applicable"
"Poisoning Animals","Title 21","21-1681",1999,"21-1681",1999,"Felony","0","3","0","250","No","Nonspecific","Not Applicable","Not Applicable"
"Instigating Fights Between Animals","Title 21","21-1682",1982,"21-1682",1982,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"KEEPING PLACE FOR FIGHTING ANIMALS","Title 21","21-1683",1982,"21-1683",1982,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Wounding or Trapping Birds within Cemetery or Burying Ground","Title 21","21-1684",1910,"21-1684",1910,"Unspecified","Unspecified","Unspecified","5","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"CRUELTY TO ANIMALS","Title 21","21-1685",2006,"21-1685",2006,"Felony","0","5","0","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Prohibition on Use of Live Animals as Lure in Training Greyhounds","Title 21","21-1685.1",1991,"21-1685.1.B",1991,"Misdemeanor","Unspecified","Unspecified","0","250","No","Nonspecific","Not Applicable","Not Applicable"
"Disposal of Abandoned Animals","Title 21","21-1686",2006,"21-1692",1984,"Misdemeanor","0","1","100","500","No","Nonspecific","Not Applicable","Not Applicable"
"Carrying Animals in Cruel Manner","Title 21","21-1688",1910,"21-1692",1984,"Misdemeanor","0","1","100","500","No","Nonspecific","Not Applicable","Not Applicable"
"Administration of Poisonous Drugs to Animals","Title 21","21-1689",1910,"21-1692",1984,"Misdemeanor","0","1","100","500","No","Nonspecific","Not Applicable","Not Applicable"
"Abandoning Animals Along Streets or Highways Unlawful","Title 21","21-1691",1984,"21-1692",1984,"Misdemeanor","0","1","100","500","No","Nonspecific","Not Applicable","Not Applicable"
"Instigating or Encouraging Cockfight","Title 21","21-1692.2",2002,"21-1692.8",2002,"Felony","1","10","2000","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Keeping Place, Equipment, or Facilities for Cockfighting","Title 21","21-1692.3",2002,"21-1692.8",2002,"Felony","1","10","2000","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Servicing or Facilitating Cockfight","Title 21","21-1692.4",2002,"21-1692.8",2002,"Felony","1","10","2000","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Owning, Possessing, Keeping or Training Bird for Fighting","Title 21","21-1692.5",2002,"21-1692.8",2002,"Felony","1","10","2000","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Spectators of Cockfighting","Title 21","21-1692.6",2002,"21-1692.8",2002,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"INSTIGATING OR ENCOURAGING DOGFIGHT","Title 21","21-1694",1999,"21-1699.1",1999,"Felony","1","10","2000","25000","No","Nonspecific","Not Applicable","Not Applicable"
"KEEP PLACE, EQUIP, FAC FOR DOG FIGHTING","Title 21","21-1695",1999,"21-1699.1",1999,"Felony","1","10","2000","25000","No","Nonspecific","Not Applicable","Not Applicable"
"SERVICING OR FACILITATING A DOGFIGHT","Title 21","21-1696",1999,"21-1699.1",1999,"Felony","1","10","2000","25000","No","Nonspecific","Not Applicable","Not Applicable"
"OWN, POSSESS, KEEP, OR TRAIN DOG EDR FIG","Title 21","21-1697",1999,"21-1699.1",1999,"Felony","1","10","2000","25000","No","Nonspecific","Not Applicable","Not Applicable"
"Spectators of Dogfighting","Title 21","21-1698",1982,"21-1699.1",1999,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Prohibition on Bear Wrestling Exhibitions or Horse Tripping Events","Title 21","21-1700",1996,"21-1700",1996,"Misdemeanor","0","1","0","2000","Yes","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF LOST PROPERTY (VALUE <$1000)","Title 21","21-1702",2018,"21-1702.A.1",2018,"Misdemeanor","0","1","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF LOST PROPERTY (VALUE >=$1000 UP TO $2499)","Title 21","21-1702",2018,"21-1702.A.2",2018,"Felony","0","2","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF LOST PROPERTY (VALUE >=$2500 UP TO $14999)","Title 21","21-1702",2018,"21-1702.A.3",2018,"Felony","0","5","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF LOST PROPERTY (VALUE >=$15000)","Title 21","21-1702",2018,"21-1702.A.4",2018,"Felony","0","8","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"GRAND LARCENY (VALUE <$1000)","Title 21","21-1705",2018,"21-1705.A.1",2018,"Misdemeanor","0","1","0","1000","Yes","Nonspecific","Not Applicable","Not Applicable"
"GRAND LARCENY (VALUE >=$1000 UP TO $2499)","Title 21","21-1705",2018,"21-1705.A.2",2018,"Felony","0","2","0","1000","Yes","Nonspecific","Not Applicable","Not Applicable"
"GRAND LARCENY (VALUE >=$2500 UP TO $14999)","Title 21","21-1705",2018,"21-1705.A.3",2018,"Felony","0","5","0","1000","Yes","Nonspecific","Not Applicable","Not Applicable"
"GRAND LARCENY (VALUE >=$15000)","Title 21","21-1705",2018,"21-1705.A.4",2018,"Felony","0","8","0","1000","Yes","Nonspecific","Not Applicable","Not Applicable"
"SECOND OR SUBSEQUENT FELONY CONVICTION WHERE MOST RECENT OFFENSE IS Grand Larceny","Title 21","21-1705",2018,"21-51.1.E.5",2018,"Felony","Unspecified","See Statute","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"PETIT LARCENY","Title 21","21-1706",1993,"21-1706",1993,"Unspecified","0","6 months","10","500","No","Nonspecific","Not Applicable","Not Applicable"
"GRAND LARCENY IN HOUSE OR VESSEL","Title 21","21-1707",1999,"21-1707",1999,"Felony","0","8","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"GRAND LARCENY FROM PERSON AT NIGHT","Title 21","21-1708",1999,"21-1708",1999,"Felony","0","10","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"LARCENY OF WRITTEN INSTRUMENT","Title 21","21-1709",1910,"21-1709",1910,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified","Yes","Nonspecific","Check 21-9/21-10","Not Applicable"
"REC/POSS/CONC STOLEN PROPERTY (VALUE >=$1000 UP TO $2499)","Title 21","21-1713",2018,"21-1713.A.1",2018,"Felony","0","2","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"REC/POSS/CONC STOLEN PROPERTY (VALUE >=$2500 UP TO $14999)","Title 21","21-1713",2018,"21-1713.A.2",2018,"Felony","0","5","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"REC/POSS/CONC STOLEN PROPERTY (VALUE >=$15000)","Title 21","21-1713",2018,"21-1713.A.3",2018,"Felony","0","8","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"REC/POSS/CONC STOLEN PROPERTY (VALUE <$1000)","Title 21","21-1713",2018,"21-1713.B",2018,"Misdemeanor","0","6 months","0","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"SECOND OR SUBSEQUENT FELONY CONVICTION WHERE MOST RECENT OFFENSE IS Receiving or concealing stolen property","Title 21","21-1713",2018,"21-51.1.E.2",2018,"Felony","Unspecified","See Statute","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"REC/PURCH STOLEN FARM/CONSTR EQUIP","Title 21","21-1713.1",2002,"21-1713.1",2002,"Felony","0","10","See Statute","500000","Yes","Nonspecific","Not Applicable","Not Applicable"
"FRAUDULENT CONSUMPTION OF GAS","Title 21","21-1714",1910,"21-1714",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Larceny of Livestock or Implements of Husbandry (horse/jackass/jennet/mule/cow/hog/implement of husbandry)","Title 21","21-1716",2016,"21-1716.A",2016,"Felony","3","10","See Statute","500000","No","Nonspecific","Not Applicable","Not Applicable"
"Larceny of Livestock or Implements of Husbandry (dog/sheep/goat)","Title 21","21-1716",2016,"21-1716.B",2016,"Felony","6 months","3","See Statute","500000","No","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF DOGS","Title 21","21-1718",1971,"21-1718",1971,"Unspecified","See Statute","See Statute","See Statute","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"Domestic Fowls, Larceny of-Receiving Stolen Fowls","Title 21","21-1719",1999,"21-1719",1999,"Unspecified","0","5","0","200","No","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF DOMESTICATED FISH OR GAME (VALUE <$1000)","Title 21","21-1719.1",2017,"21-1719.1.C.1",2017,"Misdemeanor","0","60 days","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF DOMESTICATED FISH OR GAME (VALUE >=$1000)","Title 21","21-1719.1",2017,"21-1719.1.C.2",2017,"Felony","0","5","1000","5000","No","Nonspecific","Not Applicable","Not Applicable"
"Grand Larceny of Exotic Livestock","Title 21","21-1719.2",1999,"21-1719.2",1999,"Unspecified","0","10","0","20000","No","Nonspecific","Not Applicable","Not Applicable"
"LARCENY - AUTO AIRCRAFT OR OTHER MOTOR V (VALUE <$50000)","Title 21","21-1720",2018,"21-1720",2018,"Felony","3","5","See Statute","Unspecified","Yes","Nonspecific","Not Applicable","Not Applicable"
"LARCENY - AUTO AIRCRAFT OR OTHER MOTOR V (VALUE >=$50000)","Title 21","21-1720",2018,"21-1720",2018,"Felony","3","10","See Statute","500000","Yes","Nonspecific","Not Applicable","Not Applicable"
"TAPPING OIL/GAS TANK/PIPELINE","Title 21","21-1721",1999,"21-1721",1999,"Felony","1","10","100","50000","No","Nonspecific","Not Applicable","Not Applicable"
"TAKING OIL/GAS/GASOLINE OR OIL FIELD EQUIPMENT (VALUE <$1000)","Title 21","21-1722",2017,"21-1722",2017,"Misdemeanor","0","60 days","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"TAKING OIL/GAS/GASOLINE OR OIL FIELD EQUIPMENT (VALUE >=$1000)","Title 21","21-1722",2017,"21-1722",2017,"Felony","1","10","100","50000","No","Nonspecific","Not Applicable","Not Applicable"
"LARCENY FROM THE HOUSE","Title 21","21-1723",1998,"21-1724",1999,"Felony","0","5","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Possession of More Than One Pound Without Written Evidence of Title","Title 21","21-1726",1999,"21-1726",1999,"Felony","1","5","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"ENTERING W/INTENT TO STEAL COPPER","Title 21","21-1727",1999,"21-1727",1999,"Felony","1","5","100","500","No","Nonspecific","Not Applicable","Not Applicable"
"REC/POSS/TRANSP STOLEN COPPER","Title 21","21-1728",1999,"21-1728",1999,"Felony","1","5","100","500","No","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF MERCH FROM RETAILER (VALUE >=$15000)","Title 21","21-1731",2018,"21-1731",2018,"Felony","0","8","0","1000","Yes","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF MERCH FROM RETAILER (VALUE >=$2500 UP TO $14999)","Title 21","21-1731",2018,"21-1731",2018,"Felony","0","5","0","1000","Yes","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF MERCH FROM RETAILER (FIRST OR SECOND OFFENSE, VALUE <$1000, MULTIPLE ITEMS TAKEN)","Title 21","21-1731",2018,"21-1731.A.1",2018,"Misdemeanor","0","30 days","50","500","Yes","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF MERCH FROM RETAILER (FIRST OR SECOND OFFENSE, VALUE <$1000, ONE ITEM TAKEN)","Title 21","21-1731",2018,"21-1731.A.1",2018,"Misdemeanor","0","30 days","10","500","Yes","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF MERCH FROM RETAILER (THIRD OR SUBSEQUENT OFFENSE, VALUE <$1000)","Title 21","21-1731",2018,"21-1731.A.2",2018,"Misdemeanor","0","1","0","1000","Yes","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF MERCH FROM RETAILER (VALUE >=$1000 UP TO $2499)","Title 21","21-1731",2018,"21-1731.A.3",2018,"Felony","0","2","0","1000","Yes","Nonspecific","Not Applicable","Not Applicable"
"SECOND OR SUBSEQUENT FELONY CONVICTION WHERE MOST RECENT OFFENSE IS Larceny of merchandise from a retailer","Title 21","21-1731",2018,"21-51.1.E.9",2018,"Felony","Unspecified","See Statute","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Not Applicable"
"SHOPLIFTING W/ EXEMPLARY DAMAGES","Title 21","21-1731.1.D",1990,"21-1731.1.E",1990,"Unspecified","See Statute","See Statute","50","500","No","Nonspecific","Not Applicable","Not Applicable"
"Larceny of trade secrets","Title 21","21-1732.A.b",2009,"21-1718",1971,"Unspecified","See Statute","See Statute","See Statute","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF CABLE TV SERVICES (FACILITATION)","Title 21","21-1737",2000,"21-1737.A.4",2000,"Misdemeanor","0","6 months","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF CABLE TV SERVICES (VIOLATION)","Title 21","21-1737",2000,"21-1737.C",2000,"Unspecified","See Statute","See Statute","See Statute","See Statute","No","Nonspecific","Not Applicable","Not Applicable"
"LIBRARY THEFT (VALUE <=$500)","Title 21","21-1739",1988,"21-1739.C.1",1988,"Misdemeanor","Unspecified","Unspecified","0","1000","Yes","Nonspecific","Not Applicable","Not Applicable"
"LIBRARY THEFT (VALUE >$500)","Title 21","21-1739",1988,"21-1739.C.2",1988,"Misdemeanor","Unspecified","Unspecified","0","10000","Yes","Nonspecific","Not Applicable","Not Applicable"
"LARCENY OF SERVICE STATION GASOLINE-PUMP","Title 21","21-1740",2005,"21-1740",2005,"Misdemeanor","0","60 days","0","500","No","Nonspecific","Not Applicable","Not Applicable"
"Theft of Dimensional Stone Products","Title 21","21-1740.1",2009,"21-1740.1",2009,"Misdemeanor","0","1","1000","2000","No","Nonspecific","Not Applicable","Not Applicable"
"UNLAWFUL USE OF RECORDING DEVICE MOTION PICTURES","Title 21","21-1741",2004,"21-1741.C",2004,"Unspecified","0","1","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"Procuring, Selling, or Receiving Telephone Records by Fraud (Single Recording)","Title 21","21-1742.2",2006,"21-1742.2.B.1",2006,"Felony","0","5","Unspecified","Unspecified","Yes","Nonspecific","Not Applicable","Check 21-64"
"Procuring, Selling, or Receiving Telephone Records by Fraud (Two to Ten Recordings)","Title 21","21-1742.2",2006,"21-1742.2.B.2",2006,"Felony","0","10","Unspecified","Unspecified","Yes","Nonspecific","Not Applicable","Check 21-64"
"Procuring, Selling, or Receiving Telephone Records by Fraud (Over Ten Recordings)","Title 21","21-1742.2",2006,"21-1742.2.B.3",2006,"Felony","0","20","Unspecified","Unspecified","Yes","Nonspecific","Not Applicable","Check 21-64"
"INJURY TO/OBSTRUCTION OF RAILROAD","Title 21","21-1751",1999,"21-1751.A.2",1999,"Felony","6 months","4","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"DEATH FROM DISPLACE OF RAILROAD EQUIPMEN","Title 21","21-1752",1999,"21-1752",1999,"Felony","4","Unspecified","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Interfering with Railroad (Value >$1500 or Bodily Harm)","Title 21","21-1752.1",1999,"21-1752.1.B",1999,"Felony","0","4","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Interfering with Railroad (Value <=$1500)","Title 21","21-1752.1",1999,"21-1752.1.C",1999,"Misdemeanor","0","1","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Injuries to Public Highways or Bridges","Title 21","21-1753",1999,"21-1753",1999,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Litter From Vehicle","Title 21","21-1753.3",2006,"21-1753.3.B",2006,"Unspecified","See Statute","See Statute","0","1000","No","Nonspecific","Not Applicable","Not Applicable"
"Flaming and Glowing Substances","Title 21","21-1753.3",2006,"21-1753.3.C",2006,"Unspecified","See Statute","See Statute","0","2000","No","Nonspecific","Not Applicable","Not Applicable"
"Burn Bans","Title 21","21-1753.3",2006,"21-1753.3.D",2006,"Unspecified","See Statute","See Statute","0","4000","No","Nonspecific","Not Applicable","Not Applicable"
"Stealing Road Signs (Violation)","Title 21","21-1753.8",2008,"21-1753.8.A",2008,"Misdemeanor","See Statute","See Statute","0","100","Yes","Nonspecific","Not Applicable","Not Applicable"
"Stealing Road Signs (Violation Resulting in Personal Injury/Death)","Title 21","21-1753.8",2008,"21-1753.8.B",2008,"Felony","0","2","0","1000","Yes","Nonspecific","Not Applicable","Not Applicable"
"Obstruction of Public Highways or Streets","Title 21","21-1754",1910,"21-1754",1910,"Misdemeanor","Unspecified","Unspecified","0","100","Yes","Nonspecific","Not Applicable","Not Applicable"
"Injury to Toll House or Turnpike Gate","Title 21","21-1755",1998,"21-1755",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Interference With Irrigation Ditches, Canals, Water Lines or Conduits","Title 21","21-1758",1972,"21-1759",1972,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"MALICIOUS INJURY/DESTRUCTION OF PROPERTY (VALUE <$1000)","Title 21","21-1760",2008,"21-1760.A.1",2008,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"MALICIOUS INJURY TO PROPERTY (VALUE >=$1000)","Title 21","21-1760",2008,"21-1760.A.2",2008,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"MALICIOUS INJURY TO PROPERTY (THIRD OR SUBSEQUENT OFFENSE)","Title 21","21-1760",2008,"21-1760.A.3",2008,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Dumping Trash on Public or Private Property Without Consent (Violation)","Title 21","21-1761.1",2018,"21-1761.1",2018,"Misdemeanor","Community Service","Community Service","200","7500","Yes","Nonspecific","Not Applicable","Not Applicable"
"Dumping Trash on Public or Private Property Without Consent (Flaming or Glowing Substance)","Title 21","21-1761.1",2018,"21-1761.1.C",2018,"Misdemeanor","Community Service","Community Service","2000","7500","Yes","Nonspecific","Not Applicable","Not Applicable"
"Dumping Trash on Public or Private Property Without Consent (Burn Ban)","Title 21","21-1761.1",2018,"21-1761.1.D",2018,"Misdemeanor","Community Service","Community Service","4000","12500","Yes","Nonspecific","Not Applicable","Not Applicable"
"Dumping Trash on Public or Private Property Without Consent (Item Weighing 50+ Pounds)","Title 21","21-1761.1",2018,"21-1761.1.E",2018,"Misdemeanor","Community Service","Community Service","1000","9000","Yes","Nonspecific","Not Applicable","Not Applicable"
"Defacing Legal Notice of Mining Claims or Records","Title 21","21-1762",1910,"21-1762",1910,"Misdemeanor","10 days","6 months","25","100","No","Nonspecific","Not Applicable","Not Applicable"
"Defacing or Injuring House of Worship","Title 21","21-1765",1998,"21-1765",1998,"Felony","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"POSS/USE/MFG OR TEL THREAT OF INCENDIARY","Title 21","21-1767.1",2005,"21-1767.2",1999,"Felony","3","10","0","10000","No","Nonspecific","Not Applicable","Not Applicable"
"POSS/USE/MFG OR TEL THREAT OF INCENDIARY (PERSONAL INJURY)","Title 21","21-1767.1",2005,"21-1767.2",1999,"Felony","7","Life","Unspecified","Unspecified","No","Nonspecific","Not Applicable","Check 21-64"
"Trespass by Destroying, Cutting or Taking Wood, Timber, etc.","Title 21","21-1768",1910,"21-1768",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Destroying Crops, Grains, Fruits, etc.","Title 21","21-1770",1910,"21-1770",1910,"Misdemeanor","Unspecified","Unspecified","Unspecified","Unspecified","No","Nonspecific","Check 21-9/21-10","Check 21-64"
"Unlawfully Picking or Destroying Fruits, Flowers, etc. of Another in Daytime","Title 21","21-1771",1910,"21-1771",1910,"Unspecified","0","30 days","5","100","No","Nonspecific","Not Applicable","Not Applicable"
"Unlawfully Picking or Destroying Fruits, Flowers, etc. of Another in Night Time","Title 21","21-1772",1910,"21-1772",1910,"Unspecified","0","30 days","10","100","No","Nonspecific","Not Applicable","Not Applicable"
"Maliciously Cutting or Destroying Fruit or Ornamental Trees, Shrubs, etc.","Title 21","21-1773",1910,"21-1773",1910,"Unspecified","0","30 days","10","100","No","Nonspecific","Not Applicable","Not Applicable"
